wcat,wdog
-7.512474432587623596e-03,-2.199720824137330055e-03
-2.576136495918035507e-03,-1.107909530401229858e-02
2.377883158624172211e-02,-2.701075002551078796e-02
-3.894926921930164099e-04,7.767584640532732010e-03
4.399209748953580856e-03,8.903422392904758453e-03
-4.414086416363716125e-02,5.900886282324790955e-02
1.098830718547105789e-02,1.148959249258041382e-02
-9.946058504283428192e-03,-2.384277619421482086e-02
2.647554688155651093e-02,-9.916766546666622162e-03
1.444794423878192902e-02,1.032397802919149399e-02
-2.237010374665260315e-02,-1.979818567633628845e-02
-2.147562243044376373e-02,1.112443581223487854e-02
-4.570113378576934338e-04,-1.916573615744709969e-03
-3.996293246746063232e-02,3.221351653337478638e-02
-3.096852218732237816e-03,4.653417039662599564e-03
1.135028619319200516e-02,1.062831003218889236e-02
-1.218380872160196304e-03,-6.255708634853363037e-03
-7.210672833025455475e-03,-1.382121071219444275e-02
4.298652522265911102e-03,-3.598016919568181038e-03
-1.041074632667005062e-03,2.220122143626213074e-02
-5.863574915565550327e-04,-1.115789171308279037e-03
-4.157366696745157242e-03,4.476913250982761383e-03
-6.827567238360643387e-03,1.638260483741760254e-02
-1.204978208988904953e-02,-1.562096551060676575e-02
-8.746454492211341858e-03,-1.823055930435657501e-02
9.604160673916339874e-03,7.622078061103820801e-03
-1.330221910029649734e-02,-2.592249400913715363e-02
1.066434942185878754e-02,2.754922723397612572e-03
-9.746276773512363434e-03,-1.213173661381006241e-02
7.168473675847053528e-03,-2.001944929361343384e-02
9.606693871319293976e-03,-1.556337252259254456e-02
7.484417408704757690e-02,-5.550962686538696289e-02
-3.491230309009552002e-02,-2.317902166396379471e-03
9.372284635901451111e-03,-1.091858465224504471e-02
4.620482400059700012e-02,-2.194621227681636810e-02
-1.786563312634825706e-03,5.244323518127202988e-03
1.358889974653720856e-02,3.030316717922687531e-02
-1.793849840760231018e-02,-1.799320802092552185e-02
-2.322557941079139709e-02,2.478780969977378845e-02
-4.282237030565738678e-03,-3.737151389941573143e-03
2.862202003598213196e-02,2.791335806250572205e-02
-2.645053900778293610e-02,-2.430621720850467682e-02
-1.759818010032176971e-02,-2.676763385534286499e-02
2.088030800223350525e-02,1.099292747676372528e-02
1.455670781433582306e-02,1.361428666859865189e-02
1.133625302463769913e-02,-2.293598838150501251e-02
-1.453531160950660706e-02,-4.189788829535245895e-03
-1.016881316900253296e-02,-1.461124233901500702e-02
1.583888567984104156e-02,1.335460226982831955e-02
7.272562361322343349e-04,6.216535810381174088e-03
1.448634918779134750e-02,1.096739806234836578e-02
